"country_code","shop_id","item_id","date","price","price_original","price_before_promo","discount_percent","history_sold","monthly_sold","liked_count","rating","rating_count","unit_sold"
id,"1368540320","42168392064",2026-07-21,69000,550000,69000,87,1000,34,341,4.91,494,0
id,"1368540320","27091058952",2026-07-21,38500,500000,38500,92,783,196,237,4.89,365,0
id,"1368540320","40067607690",2026-07-21,89900,645000,89900,86,10000,492,4807,4.85,13212,0
id,"1368540320","42118381673",2026-07-21,59000,445000,59000,87,7000,631,1587,4.86,3534,0
id,"1368540320","41753991537",2026-07-21,107000,1090000,107000,90,10000,674,2811,4.86,7211,0
id,"1368540320","41729019069",2026-07-21,159000,1590000,159000,90,661,144,227,4.88,349,0
id,"1368540320","43131681384",2026-07-21,37900,390000,37900,90,10000,1000,3842,4.88,4305,0
vn,"438905996","21677414205",2026-07-21,35000,130000,35000,73,7000,545,941,4.93,1637,0
id,"1368540320","51712602574",2026-07-21,83000,580000,83000,86,94,93,40,4.85,54,0
vn,"438905996","41628205893",2026-07-21,120000,170000,120000,29,1000,1000,174,4.59,261,0
vn,"438905996","16825736129",2026-07-21,70000,80000,70000,13,520,36,56,4.91,74,0
vn,"438905996","22243784219",2026-07-21,50000,50000,50000,,4000,295,414,4.94,840,0
vn,"438905996","24700119875",2026-07-21,81000,90000,81000,10,434,231,48,4.96,308,0
vn,"438905996","22759887263",2026-07-21,140000,170000,140000,18,193,20,31,4.97,35,0
id,"1379527329","54263525470",2026-07-21,135000,232000,135000,42,2,2,6,5.00,1,0
id,"1379527329","44863265062",2026-07-21,68000,288000,75000,76,2,2,37,5.00,1,0
id,"1379527329","55852808572",2026-07-21,248000,464000,255000,47,209,16,251,4.96,71,0
id,"1379527329","51302813419",2026-07-21,368000,696000,375000,47,47,13,101,5.00,14,0
id,"1379527329","29365482743",2026-07-21,148000,348000,155000,57,52,3,74,5.00,21,0
id,"1379527329","56752813162",2026-07-21,308000,580000,315000,47,129,9,179,4.93,45,0
vn,"438905996","20652617695",2026-07-21,30000,30000,30000,,2000,71,188,4.95,474,0
vn,"438905996","21258367014",2026-07-21,65000,140000,65000,54,10000,108,1349,4.95,3594,0
vn,"438905996","18480491787",2026-07-21,51000,80000,51000,36,10000,259,972,4.94,2797,0
vn,"438905996","18877528337",2026-07-21,108000,250000,108000,57,30000,1000,1937,4.93,8823,0
vn,"438905996","23560645214",2026-07-21,45000,45000,45000,,4000,159,414,4.92,768,0
vn,"438905996","21479403474",2026-07-21,52000,55000,52000,5,28,4,12,5.00,9,0
