product_listing_key,country_code,shop_id,item_id,product_name,snapshot_date,tier_variation_name,tier_variation_options,tier_variation_options_count
id:1368540320:50903219820,id,1368540320,50903219820,Cyeecare Masker Rambut Wangi Masker Rambut untuk Melembutkan dan Menghaluskan Rambut Kusut,2026-07-03,Types,"[""Upgrade Masker*1"", ""Upgrade Masker *2"", ""Masker*1"", ""Masker *2""]",4
id:1368540320:51162804412,id,1368540320,51162804412,[New Launch] Cyeecare 377 Brightening Essence Spray 100ml BPOM Face Mist Pencerah Wajah Pemudar Noda Hitam Flek Niacinamide Multiple Vitamin C Ectoin Hyaluronic Acid Korea,2026-07-03,Ukuran,"[""1 Pcs"", ""[Buy 1 Free 1]2 Pcs""]",2
id:1368540320:51256726650,id,1368540320,51256726650,[KOL Exclusive] Cyeecare 3pcs Skincare Moisturizer Serum Cleanser Glowing Kit Mengurangi Dark Spot,2026-07-03,type,"[""Cleanser+Serum+Cream""]",1
id:1368540320:51712602574,id,1368540320,51712602574,[New Launch] Cyeecare Paket 2 Langkah Exfo Glow Serum Cream Skincare Set Eksfoliasi Pencerah AHA BHA PHA Niacinamide Kulit Mulus Glowing,2026-07-03,Jumlah,"[""[New]Set""]",1
id:1368540320:52711988070,id,1368540320,52711988070,[New Launch] Cyeecare Glowing Essence Cream Krim Wajah Gentle Formula Niacinamide + Hamamelis Korea Aman Kulit Sensitif & Berminyak Brightening Moisturizer 30g,2026-07-03,Jumlah,"[""Niacinamide Cream"", ""Niacinamide Cream*2"", ""377 Cream"", ""377 Cream*2""]",4
id:1368540320:52762415493,id,1368540320,52762415493,Cyeecare B5 Collagen Repair Serum - Serum Pemulih Skin Barrier Melembapkan 20ml,2026-07-03,Ukuran,"[""Serum""]",1
id:1368540320:52912412561,id,1368540320,52912412561,Cyeecare Tea Tree Anti-Acne Serum - Serum Jerawat Mengontrol Minyak 20ml,2026-07-03,Ukuran,"[""Serum""]",1
id:1368540320:53811593142,id,1368540320,53811593142,"[KOL Exclusive]Cyeecare Hair Mask 150ml – Masker Rambut Keratin & Hyaluronic Acid untuk Rambut Lurus, Lembut & Tidak Mengembang",2026-07-03,Ukuran,"[""1 PCS"", ""2 PCS""]",2
id:1368540320:54059337526,id,1368540320,54059337526,Cyeecare TRI-ACID ARBUTIN Sabun Cuci Muka Gel 120ml Brightening Oil Control Bebas Kilap Cerah Merata,2026-07-03,Ukuran,"[""120ml*1"", ""120ml*2""]",2
id:1368540320:54211592942,id,1368540320,54211592942,[KOL Exclusive]Cyeecare Ginger Hair Serum 20g – Serum Rambut Anti Rontok & Penumbuh Rambut Alami,2026-07-03,type,"[""1pcs"", ""2pcs"", ""3pcs""]",3
id:1368540320:54412798940,id,1368540320,54412798940,[New Launch] Cyeecare 377 Glow Radiance Cream 30g BPOM Krim Pencerah Wajah Pemudar Noda Hitam Flek Bekas Jerawat Niacinamide Tranexamic Acid 8D Hyaluronic Acid Ceramide Korea,2026-07-03,Ukuran,"[""1 Pcs"", ""[Buy 1 free 1] 2 Pcs""]",2
id:1368540320:54952247520,id,1368540320,54952247520,Cyeecare Anti Rambut Rontok - Sampo Jahe untuk Pertumbuhan Rambut 150ml,2026-07-03,Types,"[""shampoo*1"", ""shampoo*2"", ""Sampo & Masker"", ""Sampo & Pertumbuhan"", ""3Pcs Set""]",5
id:1368540320:55312530737,id,1368540320,55312530737,[KOL Exclusive]Cyeecare Tone Up Cream Krim Pencerah Wajah Glowing Instan Moisturizer,2026-07-03,Jumlah,"[""1 PCS"", ""3 PCS""]",2
id:1368540320:55556714442,id,1368540320,55556714442,[KOL Exclusive] Cyeecare Serum Eksfoliasi AHA BHA PHA LHA Peeling Serum Brightening Hilangkan Dark Spot & Bekas Jerawat 20g,2026-07-03,Ukuran,"[""1 PCS""]",1
